Accession	Description	Topology	Size (bp)	Phylum	Class	Order	Family	Genus	Species	Plasmid	Strain	Collection date	Country	REP types	MOB types	MPF types 	OriT types	Predicted Mobility
AF047696.1	Streptococcus pneumoniae plasmid pDP1, complete sequence	circular	3161	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	pDP1	D39	NA	NA	rep_cluster_1136	NA	NA	NA	Non-mobilizable
AF050494.1	Streptococcus mutans strain LM7 plasmid pLM7, complete plasmid sequence	circular	5658	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	pLM7	LM7	NA	NA	NA	NA	MPF_F	NA	Non-mobilizable
AF051917.1	Staphylococcus aureus plasmid pSK41, complete sequence	circular	46445	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	pSK41	NA	NA	NA	rep_cluster_1281,rep_cluster_1017,rep_cluster_1142,rep_cluster_1018	MOBV,MOBQ	MPF_T	NA	Conjugative
AF052650.1	Vibrio cholerae strain O395P plasmid pTLC, complete sequence	circular	4719	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae	pTLC	O395P	NA	NA	rep_cluster_159	NA	NA	NA	Non-mobilizable
AF053946.1	Yersinia pestis strain KIM5 plasmid pCD1, complete sequence	circular	70504	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pestis	pCD1	KIM5	NA	NA	rep_cluster_645,IncFII	MOBF	NA	NA	Mobilizable
AF053947.1	Yersinia pestis strain KIM5 plasmid pMT1, complete sequence	circular	100984	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pestis	pMT1	KIM5	NA	NA	IncFIB	NA	NA	NA	Non-mobilizable
AF055345.1	Francisella tularensi plasmid pOM1, complete sequence	circular	4442	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella tularensis	pOM1	LVS	NA	NA	rep_cluster_961	NA	NA	NA	Non-mobilizable
AF056496.1	Helicobacter pylori plasmid pHPO100, complete sequence	circular	3520	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	pHPO100	OU145B	NA	NA	rep_cluster_60	NA	NA	NA	Non-mobilizable
AF065404.1	Bacillus anthracis virulence plasmid PX01, complete sequence	circular	181654	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus anthracis	virulence plasmid PX01	Sterne	NA	NA	rep_cluster_125	MOBP	MPF_unknown	NA	Conjugative
AF069302.1	Pediococcus pentosaceus plasmid pMD136, complete sequence	circular	19533	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus pentosaceus	pMD136	ATCC 43200	NA	NA	rep_cluster_640	MOBP	MPF_T	MOBP	Conjugative
AF074612.1	Yersinia pestis strain KIM5 plasmid pCD1, complete sequence	circular	70559	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pestis	pCD1	KIM5	NA	NA	rep_cluster_645,IncFII	MOBF	NA	NA	Mobilizable
AF077006.1	Helicobacter pylori plasmid pHPM186, complete sequence	circular	12887	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	pHPM186	HPM186	NA	NA	rep_cluster_144	NA	NA	NA	Non-mobilizable
AF082180.1	Riemerella anatipestifer plasmid pCFC2, complete sequence	circular	5609	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Riemerella	Riemerella anatipestifer	pCFC2	20	NA	NA	rep_cluster_1262	NA	NA	NA	Non-mobilizable
AF085719.1	Bifidobacterium breve plasmid pCIBb1, complete sequence	circular	5750	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium breve	pCIBb1	NCFB 2258	NA	NA	rep_cluster_680	NA	NA	NA	Non-mobilizable
AF091592.1	Bacillus subtilis plasmid p1414, complete plasmid sequence	circular	7949	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	p1414	NA	NA	Russia:Moscow	NA	MOBV,MOBV	NA	NA	Mobilizable
AF092037.1	Corynebacterium glutamicum plasmid pBl1, complete sequence	circular	4447	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum	pBl1	ATCC 21086	NA	NA	rep_cluster_209	NA	NA	NA	Non-mobilizable
AF093750.2	Staphylococcus sciuri subsp. sciuri plasmid pACK6, complete sequence	circular	4431	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sciuri	pACK6	NA	NA	NA	rep_cluster_1118	NA	NA	NA	Non-mobilizable
AF102990.1	Yersinia enterocolitica plasmid pYVe227, complete sequence	circular	69673	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia enterocolitica	pYVe227	W22703	NA	NA	IncFII,rep_cluster_645	MOBF	NA	NA	Mobilizable
AF109691.1	Lactobacillus delbrueckii subsp. lactis plasmid pLL1212, complete plasmid sequence	circular	8713	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus delbrueckii	pLL1212	CRL1212	NA	NA	rep_cluster_64	NA	NA	NA	Non-mobilizable
AF110140.1	Acetobacter aceti plasmid pAC5, complete sequence	circular	5123	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter aceti	pAC5	NA	NA	NA	NA	NA	NA	NA	Non-mobilizable
AF112856.1	Treponema denticola plasmid pTS1, complete sequence	circular	3649	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema denticola	pTS1	U9b	NA	NA	NA	NA	NA	NA	Non-mobilizable
AF113972.1	Selenomonas ruminantium plasmid pSR1, complete sequence	circular	4692	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas	Selenomonas ruminantium	pSR1	HD4	NA	NA	NA	NA	NA	NA	Non-mobilizable
AF121418.1	Francisella tularensis var. novicida plasmid pFNL10, complete sequence	circular	3990	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella tularensis	pFNL10	F6168	NA	NA	rep_cluster_961	NA	NA	NA	Non-mobilizable
AF128883.1	Staphylococcus aureus 21kb plasmid, complete sequence	circular	20719	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	21kb plasmid	NA	NA	NA	rep_cluster_1733	NA	NA	NA	Non-mobilizable
AF129811.3	Moraxella catarrhalis strain E22 plasmid pLQ510, complete sequence	circular	12084	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella catarrhalis	pLQ510	E22	NA	NA	rep_cluster_396	MOBP	NA	NA	Mobilizable
AF131076.1	Coxiella burnetii strain R1140 plasmid QpDV, complete sequence	circular	32601	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella	Coxiella burnetii	QpDV	R1140	NA	NA	rep_cluster_478	NA	NA	NA	Non-mobilizable
AF135182.5	Serratia entomophila plasmid pADAP, complete sequence	circular	153842	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	Serratia entomophila	pADAP	A1MO2	NA	NA	rep_cluster_1057	MOBP	MPF_I	NA	Conjugative
AF141869.1	Selenomonas ruminantium plasmid pJW1, complete sequence	circular	1410	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas	Selenomonas ruminantium	pJW1	JW13	NA	NA	NA	NA	NA	NA	Non-mobilizable
AF152923.1	Yersinia pestis CH971662 cryptic plasmid pYC, complete sequence	circular	5919	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pestis	pYC	CH971662	NA	China: Ban Na, Menghai county	ColRNAI_rep_cluster_1956	NA	MPF_T	NA	Non-mobilizable
AF153414.1	Lactococcus lactis plasmid pCIS3, complete sequence	circular	6159	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	pCIS3	NA	NA	NA	rep_cluster_556	NA	NA	MOBP	Mobilizable
AF156893.2	Klebsiella pneumoniae plasmid pKlebB-k17/80, complete sequence	circular	5258	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	pKlebB-k17/80	NA	NA	NA	ColRNAI_rep_cluster_1987	NA	NA	NA	Non-mobilizable
AF159249.1	Fusobacterium nucleatum plasmid pFN1, complete sequence	circular	5887	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum	pFN1	12230	NA	NA	rep_cluster_457	MOBP	NA	NA	Mobilizable
AF164559.3	Enterococcus faecalis plasmid pEF1071, complete sequence	circular	9328	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	pEF1071	BFE 1071	NA	NA	rep_cluster_1070	MOBP	NA	NA	Mobilizable
AF188935.1	Bacillus anthracis plasmid pXO2, complete sequence	circular	96231	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus anthracis	pXO2	NA	NA	NA	rep_cluster_163	MOBP,MOB_Unknown	MPF_T	NA	Conjugative
AF196967.2	Pediococcus damnosus plasmid pF8801, complete sequence	circular	5558	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus damnosus	pF8801	8801 (IOEB)	NA	NA	Inc13	MOBV	NA	NA	Mobilizable
AF197335.1	Escherichia coli pCol-let plasmid, complete plasmid sequence	circular	5847	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	pCol-let	NA	NA	NA	ColRNAI_rep_cluster_1857	NA	NA	MOBP,MOB_unknown	Mobilizable
AF200347.3	Lactobacillus curvatus strain CRL705 plasmid pRC18, complete sequence	circular	18664	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus curvatus	pRC18	CRL705	NA	NA	NA	NA	NA	NA	Non-mobilizable
AF202532.3	Bacillus thuringiensis plasmid pBMB9741, complete sequence	circular	6578	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus thuringiensis	pBMB9741	YBT-1520	NA	NA	rep_cluster_617	MOBP	NA	NA	Mobilizable
AF205068.1	Lactobacillus reuteri endogenous plasmid, complete sequence	circular	4523	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri	endogenous plasmid	AE78	NA	NA	rep_cluster_1187	NA	NA	NA	Non-mobilizable
AF207855.1	Lactococcus lactis plasmid pAH33, complete sequence	circular	6159	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	pAH33	DPC220	NA	NA	rep_cluster_556	NA	NA	MOBP	Mobilizable
AF226280.2	Campylobacter jejuni 81-176 virulence plasmid pVir, complete sequence	circular	37468	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	pVir	81-176	NA	NA	rep_cluster_1502	MOBP	MPF_T	NA	Conjugative
AF233873.1	Methylophaga thalassica strain S1 2kb cryptic plasmid, complete plasmid sequence	circular	1995	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Methylophaga	Methylophaga thalassica	2kb cryptic plasmid	S1	NA	NA	NA	NA	NA	NA	Non-mobilizable
AF236060.1	Lactobacillus delbrueckii subsp. bulgaricus plasmid pLBB1, complete plasmid sequence	linear	6127	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus delbrueckii	pLBB1	NA	NA	NA	rep_cluster_64	NA	NA	NA	Non-mobilizable
AF241888.2	Staphylococcus aureus plasmid pRJ6, complete sequence	circular	7904	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	pRJ6	NA	NA	NA	rep_cluster_1256	MOBP	NA	MOBP	Mobilizable
AF244083.1	Edwardsiella ictaluri plasmid pEI1, complete plasmid sequence	circular	4807	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Edwardsiella	Edwardsiella ictaluri	pEI1	NA	NA	NA	ColRNAI_rep_cluster_1987	NA	NA	NA	Non-mobilizable
AF244084.1	Edwardsiella ictaluri plasmid pEI2, complete plasmid sequence	circular	5643	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Edwardsiella	Edwardsiella ictaluri	pEI2	NA	NA	NA	rep_cluster_1164	NA	NA	NA	Non-mobilizable
AF247159.1	Lactococcus lactis subsp. cremoris plasmid pHP003, complete sequence	circular	13433	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	pHP003	HP	NA	NA	rep_cluster_520	NA	NA	NA	Non-mobilizable
AF264948.1	Erwinia amylovora plasmid pEA29, complete sequence	circular	28185	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia amylovora	pEA29	Ea88	NA	USA: originally isolated from a pear tree in state of Washington	rep_cluster_1099	NA	NA	NA	Non-mobilizable
AF273219.1	Pseudomonas putida plasmid pYQ39, complete plasmid sequence	circular	2297	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	pYQ39	NA	NA	NA	NA	NA	NA	NA	Non-mobilizable
AF275307.1	Helicobacter pylori plasmid pHPM8, complete sequence	circular	7817	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	pHPM8	HPM8	NA	NA	rep_cluster_137	NA	NA	NA	Non-mobilizable
AF282884.1	Shigella sonnei plasmid ColJs, complete sequence	circular	5210	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella sonnei	ColJs	colicin type 7	NA	NA	ColRNAI_rep_cluster_1857	MOBP,MOBP	NA	MOBP	Mobilizable
AF291751.1	Propionibacterium freudenreichii plasmid p545, complete sequence	circular	3555	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	Propionibacterium freudenreichii	p545	LMG16545	NA	NA	NA	NA	NA	NA	Non-mobilizable
AF292711.1	Borrelia burgdorferi strain N40 plasmid cp9, complete sequence	circular	8720	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	cp9	N40	NA	NA	NA	NA	NA	NA	Non-mobilizable
AF295336.1	Fusobacterium nucleatum plasmid pKH9, complete sequence	circular	4975	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum	pKH9	KH9	NA	NA	NA	NA	NA	NA	Non-mobilizable
AF300473.1	Klebsiella pneumoniae plasmid pKPN2, complete sequence	circular	4196	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	pKPN2	2kI	NA	NA	ColRNAI_rep_cluster_1857	NA	NA	MOBP,MOB_unknown	Mobilizable
AF301164.1	Campylobacter jejuni plasmid pCJ01, complete sequence	linear	3212	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	pCJ01	21190	NA	NA	rep_cluster_896	NA	NA	NA	Non-mobilizable
AF302424.1	Actinobacillus actinomycetemcomitans plasmid pVT745, complete sequence	circular	25407	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter actinomycetemcomitans	pVT745	VT745	NA	NA	rep_cluster_1012	MOBP	MPF_T	NA	Conjugative
AF303375.1	Actinobacillus pleuropneumoniae plasmid pTYM1, complete sequence	circular	4242	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	Actinobacillus pleuropneumoniae	pTYM1	NA	NA	NA	NA	MOBF	NA	NA	Mobilizable
AF305615.1	Proteus vulgaris plasmid pPvu1, complete sequence	circular	4675	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus vulgaris	pPvu1	ATCC 13315	NA	NA	NA	MOBF	NA	NA	Mobilizable
AF306799.1	Lactococcus lactis subsp. lactis strain MJC15 plasmid pCD4, complete sequence	circular	6094	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	pCD4	MJC15	NA	NA	rep_cluster_414	NA	NA	MOBP	Mobilizable
AF310974.1	Lactobacillus sp. PC121B plasmid p121BS, complete sequence	circular	4234	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. PC121B	p121BS	PC121B	NA	NA	rep_cluster_1854	NA	NA	NA	Non-mobilizable
AF311902.1	Citrobacter rodentium strain DBS100 plasmid pCRP3, complete sequence	circular	3172	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter rodentium	pCRP3	DBS100	NA	NA	ColRNAI_rep_cluster_1857	MOBF	NA	MOB_unknown	Mobilizable
AF312688.1	Mycobacterium celatum plasmid pCLP, complete sequence	linear	22688	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium celatum	pCLP	NA	NA	NA	NA	NA	NA	NA	Non-mobilizable
AF327371.1	Sinorhizobium meliloti plasmid pRm1132f, complete sequence	circular	7212	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium meliloti	pRm1132f	NA	NA	NA	NA	MOBV	NA	NA	Mobilizable
AF339846.1	Microscilla sp. PRE1 plasmid pSD15, complete sequence	circular	101648	Bacteroidetes	Cytophagia	Cytophagales	Microscillaceae	Microscilla	Microscilla sp. PRE1	pSD15	PRE1	NA	NA	rep_cluster_217	MOBP	NA	NA	Mobilizable
AF359557.1	Pseudomonas syringae pv. maculicola plasmid pFKN, complete sequence	circular	39554	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae group genomosp. 3	pFKN	M6	NA	NA	rep_cluster_283	NA	NA	NA	Non-mobilizable
AF359574.1	Bifidobacterium pseudocatenulatum plasmid p4M, complete sequence	circular	4488	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudocatenulatum	p4M	VMKB4M	NA	NA	rep_cluster_940	NA	NA	NA	Non-mobilizable
AF364477.1	Corynebacterium jeikeium plasmid pK43, complete sequence	circular	7617	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium jeikeium	pK43	NA	NA	NA	NA	NA	NA	NA	Non-mobilizable
AF378372.1	Lactobacillus fermentum plasmid pKC5b, complete sequence	circular	4392	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus fermentum	pKC5b	KC5b	NA	NA	rep_cluster_1523	NA	NA	NA	Non-mobilizable
AF380336.1	Lactococcus lactis plasmid pCRL291.1, complete sequence	circular	4640	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	pCRL291.1	NA	NA	NA	rep_cluster_1523	NA	NA	NA	Non-mobilizable
AF386526.1	Shigella flexneri 2a str. 301 virulence plasmid pCP301, complete sequence	circular	221618	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella flexneri	pCP301	301	NA	NA	IncFII,IncFIIA	MOBF	NA	NA	Mobilizable
